Connection established to port 12345
Message sent to port 12345: LIST4
Message sent to port 12345: LIST1
Message sent to port 12345: LIST5
Message sent to port 12345: LIST8
Message sent to port 12345: LIST2
Message sent to port 12345: LIST9
Message sent to port 12345: LIST6
Message sent to port 12345: LIST3
Message sent to port 12345: LIST0
Message sent to port 12345: LIST7
Message sent to port 12345: LIST4
Message sent to port 12345: LIST0
Message sent to port 12345: LIST3
Message sent to port 12345: LIST7
Message sent to port 12345: LIST6
Message sent to port 12345: LIST8
Message sent to port 12345: LIST9
Message sent to port 12345: LIST5
Message sent to port 12345: LIST2
Message sent to port 12345: LIST1
Message sent to port 12345: LIST4
Message sent to port 12345: LIST6
Message sent to port 12345: LIST3
Message sent to port 12345: LIST0
Message sent to port 12345: LIST7
Message sent to port 12345: LIST8
Message sent to port 12345: LIST9
Message sent to port 12345: LIST5
Message sent to port 12345: LIST1
Message sent to port 12345: LIST2
Message sent to port 12345: LIST4
Message sent to port 12345: LIST6
Message sent to port 12345: LIST3
Message sent to port 12345: LIST0
Message sent to port 12345: LIST7
Message sent to port 12345: LIST8
Message sent to port 12345: LIST9
Message sent to port 12345: LIST5
Message sent to port 12345: LIST1
Message sent to port 12345: LIST2
Message sent to port 12345: LIST6
Message sent to port 12345: LIST4
Message sent to port 12345: LIST3
Message sent to port 12345: LIST2
Message sent to port 12345: LIST0
Message sent to port 12345: LIST9
Message sent to port 12345: LIST7
Message sent to port 12345: LIST8
Message sent to port 12345: LIST1
Message sent to port 12345: LIST5
Message sent to port 12345: LIST6
Message sent to port 12345: LIST4
Message sent to port 12345: LIST3
Message sent to port 12345: LIST2
Message sent to port 12345: LIST9
Message sent to port 12345: LIST7
Message sent to port 12345: LIST0
Message sent to port 12345: LIST8
Message sent to port 12345: LIST1
Message sent to port 12345: LIST5
Message sent to port 12345: LIST6
Message sent to port 12345: LIST7
Message sent to port 12345: LIST4
Message sent to port 12345: LIST3
Message sent to port 12345: LIST2
Message sent to port 12345: LIST8
Message sent to port 12345: LIST9
Message sent to port 12345: LIST0
Message sent to port 12345: LIST1
Message sent to port 12345: LIST5
